"curveID","param","param_value","PARi","assim"
"Asat_26","Asat",26,30,1.58577487929771
"Asat_26","Asat",26,40,2.39592515527491
"Asat_26","Asat",26,50,3.17974258514195
"Asat_26","Asat",26,60,3.93710132857167
"Asat_26","Asat",26,70,4.66797389641738
"Asat_26","Asat",26,80,5.37243166175408
"Asat_26","Asat",26,90,6.05064353543224
"Asat_26","Asat",26,100,6.70287286304368
"Asat_26","Asat",26,150,9.58939758949459
"Asat_26","Asat",26,200,11.908627091726
"Asat_26","Asat",26,250,13.7552765163953
"Asat_26","Asat",26,300,15.2257567952175
"Asat_26","Asat",26,350,16.4042602646071
"Asat_26","Asat",26,400,17.3583427153712
"Asat_26","Asat",26,500,18.7878088309645
"Asat_26","Asat",26,600,19.7924424830966
"Asat_26","Asat",26,800,21.0894525286722
"Asat_26","Asat",26,1000,21.8801879294045
"Asat_26","Asat",26,1250,22.5145070378285
"Asat_26","Asat",26,1500,22.9364782224639
"Asat_26","Asat",26,1800,23.286742038933
"Asat_28","Asat",28,0,-1
"Asat_28","Asat",28,10,-0.111643373799711
"Asat_28","Asat",28,20,0.753159060931392
"Asat_28","Asat",28,30,1.59405443110492
"Asat_28","Asat",28,40,2.41075833739441
"Asat_28","Asat",28,50,3.20305919938895
"Asat_28","Asat",28,60,3.97082156309154
"Asat_28","Asat",28,70,4.7139882521019
"Asat_28","Asat",28,80,5.43258128357644
"Asat_28","Asat",28,90,6.12670151495796
"Asat_28","Asat",28,100,6.79652703461987
